"","ADDRESS","LATITUDE","LONGITUDE"
"1","0 N ASHLAND AVE",41.881454,-87.666802
"2","0 N HAMLIN BOULEVARD",41.838419,-87.617465
"3","0 S CENTRAL AVENUE”,41.880303,-87.7670474
"4","1 E 63RD ST",41.779949105,-87.625289553
"5","1 E 75TH STREET",41.758074111,-87.624671658
"6","1 E 79TH STREET",41.750852096,-87.624463832
"7","1 N HALSTED STREET",41.881815632,-87.647214717
"8","1 S HALSTED STREET",41.881717056,-87.647210539
"9","1 S WESTERN AVE",41.881118279,-87.686283339
"10","100 N CICERO AVENUE",41.88187971,-87.745489247
"11","100 W CHICAGO AVENUE",41.896744347,-87.631321248
"12","1000 W FOSTER AVE",41.976505116,-87.655031882
"13","1000 W HOLLYWOOD AVE",41.985649799,-87.655335807
"14","10300 S HALSTED STREE”,41.706916,-87.652833
"15","11100 S HALSTED ST",41.692263123,-87.642522688
"16","11100 S VINCENNES AVE",41.692160999,-87.663472469
"17","11500 S HALSTED STREE”,41.685081,-87.642151
"18","11900 S HALSTED",41.677720829,-87.642051845
"19","1200 N ASHLAND AVENUE",41.903377468,-87.667643142
"20","1200 N HALSTED",41.903698308,-87.648245351
"21","1200 N PULASKI ROAD",41.902713902,-87.726451457
"22","1200 S CANAL STREET",41.867175125,-87.639375813
"23","1200 S KOSTNER",41.865938839,-87.735108549
"24","1200 S PULASKI ROAD",41.866079337,-87.725305995
"25","1200 W DEVON AVE",41.998298228,-87.660611661
"26","1200 W FOSTER AVE",41.97643192,-87.659931806
"27","1300 W IRVING PARK ROAD",41.954487567,-87.662293496
"28","140 W KINZIE",41.889297219,-87.632601648
"29","150 N SACRAMENTO BOUL",41.884012178,-87.701436479
"30","1600 E 79TH ST",41.751611523,-87.585592284
"31","1600 E 83RD STREET",41.744315875,-87.585316041
"32","1600 E 95TH STREET",41.722449457,-87.585003569
"33","1600 N HALSTED STREET",41.910940644,-87.648419043
"34","1600 N HOMAN AVENUE”,41.910053,-87.711879
"35","1600 N KOSTNER",41.909788304,-87.736404667
"36","1600 N PULASKI AVENUE",41.90997501,-87.726480523
"37","1600 N WESTERN AVE",41.910409024,-87.687370268
"38","1600 W 63RD STREET",41.779570436,-87.664293875
"39","1600 W 71ST",41.765018306,-87.66385923
"40","1600 W 87TH ST",41.735898617,-87.663128781
"41","1600 W 95TH STREET",41.721324412,-87.662724153
"42","1600 W CORTLAND ST",41.916235337,-87.667837772
"43","1600 W DIVERSEY PARKWA”,41.9324052,-87.6706585
"44","1600 W DIVISION STREET",41.903455316,-87.667558994
"45","1600 W GARFIELD BLVD",41.79413322,-87.664645263
"46","1600 W IRVING PARK ROA”,41.954291,-87.669047
"47","1600 W LAWRENCE AVENUE",41.968987457,-87.669516307
"48","1600 W MADISON",41.881564167,-87.666929463
"49","1900 N ASHLAND AVE",41.916147281,-87.667947354
"50","200 W GARFIELD BLVD",41.794670385,-87.630547476
"51","2000 E 79TH STREET",41.751716559,-87.575923074
"52","2000 E 95TH ST",41.722579473,-87.575292523
"53","2000 N CICERO AVENUE",41.916973325,-87.746260223
"54","2000 N KEDZIE AVENUE",41.917446172,-87.707116072
"55","2000 N WESTERN AVENUE",41.917603818,-87.687557878
"56","2000 W DIVERSEY PARKWAY",41.932394164,-87.678173031
"57","2000 W DIVISION",41.903298793,-87.677383247
"58","2000 W FULLERTON AVE",41.925134944,-87.677963546
"59","2200 S PULASKI",41.851521442,-87.724904787
"60","2200 S WESTERN AVENUE",41.85198384,-87.685785704
"61","2348 S KOSTNER AVENUE",41.848068845,-87.734547457
"62","2400 N ASHLAND AVENUE",41.92519389,-87.668294363
"63","2400 N CENTRAL AVENUE",41.924068922,-87.766141214
"64","2400 N CICERO AVE",41.92428359,-87.74645019
"65","2400 N CLARK ST",41.925597623,-87.640650973
"66","2400 N DAMEN AVE",41.925038006,-87.678047191
"67","2400 N HALSTED STREET",41.925540315,-87.648912156
"68","2400 N LARAMIE AVENUE",41.924151874,-87.756294662
"69","2400 N PULASKI RD",41.924572574,-87.726919111
"70","2400 N WESTERN AVENUE",41.924935944,-87.687790255
"71","2400 W 51ST ST",41.801257492,-87.684281116
"72","2400 W 55TH STREET",41.793981347,-87.684141741
"73","2400 W 63RD ST",41.779331844,-87.683675761
"74","2400 W 71ST STREET",41.764810388,-87.683308769
"75","2400 W 79TH ST",41.750220168,-87.682817693
"76","2400 W ADDISON",41.946839991,-87.688320193
"77","2400 W CERMAK ROAD",41.852141307,-87.685752642
"78","2400 W CHICAGO AVE",41.895851041,-87.686968935
"79","2400 W DIVERSEY AVENUE",41.932287183,-87.687950093
"80","2400 W FOSTER AVE",41.97600019,-87.689275084
"81","2400 W LAWRENCE AVENUE",41.968724349,-87.688968727
"82","2400 W MADISON",41.881270504,-87.68653594
"83","2400 W MARQUETTE ROAD",41.772086214,-87.683508858
"84","2400 W MONTROSE AVENUE",41.961421726,-87.68874698
"85","2400 W NORTH AVE",41.910429862,-87.687284221
"86","2400 W PERSHING ROAD",41.82309676,-87.685018951
"87","2400 W PETERSON",41.99060901,-87.689735481
"89","2400 W VAN BUREN STREET",41.876191975,-87.686337852
"90","2416 S BLUE ISLAND AV",41.848458633,-87.676271269
"91","2416 S DAMEN AVENUE",41.848080596,-87.675881338
"92","2600 S KEDZIE AVENUE",41.844424831,-87.705185452
"93","2800 N ASHLAND AVENUE",41.932445362,-87.66854285
"94","2800 N CALIFORNIA AVE",41.932120719,-87.6977653
"95","2800 N CENTRAL AVENUE",41.931365552,-87.766396529
"96","2800 N CICERO AVENUE",41.931575608,-87.746743301
"97","2800 N DAMEN AVENUE",41.932329494,-87.678282719
"98","2800 N KIMBALL AVENUE”,41.931984,-87.712251
"99","2800 N PULASKI ROAD",41.931831026,-87.727126873
"100","2800 N WESTERN AVENUE",41.932216988,-87.688033281
"101","2800 W 31ST”,41.837416,-87.6972577
"102","2800 W DEVON AVENUE",41.997669523,-87.699706423
"103","2800 W DIVERSEY",41.932205395,-87.697679244
"104","2800 W IRVING PARK ROA”,41.953973,-87.69824
"105","2800 W PETERSON AVENUE",41.990552082,-87.699464396
"106","30 W 87TH STREET",41.736376037,-87.625621311
"107","300 N HAMLIN AVENUE",41.885282636,-87.721069539
"108","3000 W CHICAGO AVENUE",41.895704525,-87.702218524
"109","3100 S ARCHER AVENUE",41.837732675,-87.66589445
"110","3100 S ASHLAND AVENUE",41.837622344,-87.665887181
"111","3100 S CALIFORNIA",41.83727705,-87.695172247
"112","3100 S DR MARTIN L KING”,41.838419,-87.617465
"113","3100 S KEDZIE AVENUE",41.837132671,-87.704967115
"114","3200 N CENTRAL AVENUE",41.938617463,-87.766648297
"115","3200 N HARLEM AVE",41.938084468,-87.806896749
"116","3200 N KEDZIE AVE",41.93935173,-87.707846594
"117","3200 N KEDZIE AVENUE",41.93935173,-87.707846594
"118","3200 N LAKESHORE DRIV",41.940909163,-87.63936916
"119","3200 N PULASKI RD",41.939138154,-87.72733371
"120","3200 W 31ST STREET",41.8373395,-87.704950558
"121","3200 W 47TH ST",41.808226246,-87.704031672
"122","3200 W 55TH STREET",41.793622803,-87.703618141
"123","3200 W 63RD ST",41.779081505,-87.703260365
"124","3200 W 71ST STREET",41.764497433,-87.702877023
"125","3200 W 79TH ST",41.749952001,-87.702448478
"126","3200 W ARMITAGE AVENUE",41.917511023,-87.707053639
"127","3200 W BELMONT",41.939440561,-87.707718516
"128","3200 W IRVING PARK ROAD",41.954029047,-87.708077494
"129","3216 W ADDISON ST",41.946734755,-87.708609774
"130","3400 W DIVERSEY AVENUE",41.932087747,-87.71238583
"131","3400 W NORTH AVE",41.910162847,-87.711953868
"132","3500 S WESTERN",41.830187255,-87.685177925
"133","3600 N AUSTIN AVENUE",41.945813215,-87.776652162
"134","3600 N CENTRAL AVENUE",41.945919491,-87.766904594
"135","3600 N CICERO AVENUE",41.946163524,-87.747215169
"136","3600 N ELSTON AVE",41.946549165,-87.708952626
"137","3600 N HARLEM AVENUE",41.945338412,-87.807154769
"138","3600 N WESTERN AVENUE",41.94681992,-87.688406662
"139","3700 W IRVING PARK ROA”,41.95373,-87.719084
"140","3800 W MADISON STREET",41.880897273,-87.720881226
"141","3900 S WESTERN BLVD",41.822963628,-87.684384785
"142","400 E 31ST STREET",41.838534018,-87.617046113
"143","400 N CENTRAL AVENUE",41.887804621,-87.765268498
"144","400 N LASALLE",41.889225372,-87.632674115
"145","400 S WESTERN AVENUE",41.876064776,-87.686415631
"146","400 W BELMONT AVE",41.940241193,-87.639639114
"147","4000 N ASHLAND AVENUE",41.954379326,-87.66919912
"148","4000 N AUSTIN AVENUE",41.953144059,-87.776925284
"149","4000 N CENTRAL AVENUE",41.953272751,-87.767150151
"150","4000 N CLARK STREET",41.954432441,-87.662446259
"151","4000 N ELSTON AVENUE",41.953687266,-87.719297882
"152","4000 N PULASKI ROAD",41.953737051,-87.727766612
"153","4000 W 55TH ST",41.793313334,-87.723223038
"154","4000 W 63RD ST",41.77876739,-87.722823195
"155","4000 W 79TH STREET",41.749679359,-87.721978345
"156","4000 W ARMITAGE AVENUE",41.917275069,-87.726622746
"157","4000 W BELMONT AVE",41.93920375,-87.727310134
"158","4000 W CERMAK",41.851654369,-87.724882975
"159","4000 W CHICAGO AVENUE",41.895476752,-87.72614436
"160","4000 W DIVERSEY AVENUE",41.931897723,-87.72710503
"161","4000 W FOSTER AVE",41.975640616,-87.728335469
"162","4000 W FULLERTON AVE",41.924593022,-87.726819268
"163","4000 W IRVING PARK RD",41.953756874,-87.727698513
"164","4000 W LAWRENCE AVENUE",41.968351285,-87.728091672
"165","4000 W MONTROSE AVENUE",41.961055804,-87.727891206
"166","4000 W NORTH AVENUE",41.909995582,-87.726394693
"167","4000 W PETERSON AVENUE",41.990244186,-87.728714391
"168","4000 W ROOSEVELT ROAD",41.866281003,-87.72523422
"169","4200 S CICERO AVENUE",41.816729387,-87.743536712
"170","4400 N MILWAUKEE AVEN",41.96061723,-87.75463824
"171","4400 N PULASKI ROAD",41.961023721,-87.727977456
"172","4400 N WESTERN AVENUE",41.961401846,-87.688832623
"173","4400 W GRAND AVE",41.91018141,-87.73624887
"174","4400 W NORTH",41.909863573,-87.736380296
"175","4400 W OGDEN AVENUE",41.847777523,-87.734505969
"176","4400 W ROOSEVELT",41.866140868,-87.73508956
"177","4440 W LAWRENCE AVENUE",41.968226398,-87.739599251
"178","4700 S ASHLAND AVENUE",41.808511597,-87.665117292
"179","4700 S CICERO AVE",41.807530373,-87.743296821
"180","4700 S KEDZIE AVE",41.808047272,-87.704118822
"181","4700 S WESTERN AVENUE",41.808378408,-87.684570717
"182","4700 W IRVING PARK ROA”,41.953446,-87.745578
"183","4800 N ASHLAND AVENUE",41.96902343,-87.669590434
"184","4800 N CICERO AVE",41.968048007,-87.747875985
"185","4800 N CICERO AVENUE",41.968048007,-87.747875985
"186","4800 N ELSTON AVENUE",41.968039361,-87.740283894
"187","4800 N PULASKI ROAD",41.968262595,-87.728175316
"188","4800 N WESTERN AVENUE",41.968640727,-87.689054241
"189","4800 W 47TH ST",41.807727017,-87.743229366
"190","4800 W ARMITAGE AVENUE",41.917041992,-87.746176095
"191","4800 W CHICAGO AVENUE",41.895112219,-87.745932427
"192","4800 W DIVERSEY AVENUE",41.93164142,-87.746719911
"193","4800 W FULLERTON AVE",41.924347036,-87.74642764
"194","4800 W HARRISON STREET",41.873245464,-87.745117179
"195","4800 W NORTH AVENUE",41.90973389,-87.746244973
"196","4800 W PETERSON AVENUE",41.990008007,-87.748376951
"197","4932 W FOSTER AVENUE",41.975394608,-87.751746599
"198","500 N COLUMBUS DRIVE",41.891044569,-87.620371839
"199","500 W ROOSEVELT ROAD",41.867362693,-87.639293195
"200","5000 S ARCHER AVE",41.802365973,-87.723576766
"201","5075 W MONTROSE AVENUE",41.960522088,-87.754371424
"202","5100 S WESTERN BLVD",41.801080204,-87.683818209
"203","5200 N BROADWAY ST",41.976412143,-87.660015082
"204","5200 N ELSTON AVENUE",41.975258095,-87.751990557
"205","5200 N NAGLE",41.97568567,-87.788020406
"206","5200 N PULASKI RD",41.97562074,-87.728383135
"207","5200 N SHERIDAN ROAD",41.976492721,-87.655133605
"208","5200 N WESTERN AVE",41.975933372,-87.689299589
"209","5200 S CICERO AVE",41.798558278,-87.743071866
"210","5200 W FULLERTON AVENUE",41.924215797,-87.756210755
"211","5200 W IRVING PARK ROA”,41.953299,-87.757148
"212","5200 W MADISON STREET",41.880480752,-87.755130433
"213","5400 S ARCHER AVE",41.798758208,-87.743020541
"214","5500 S ASHLAND AVENUE",41.793590116,-87.664720996
"215","5500 S KEDZIE AVENUE",41.793420237,-87.703697508
"216","5500 S PULASKI",41.793155061,-87.723303765
"217","5500 S WENTWORTH AVEN”,41.794201,-87.630518
"218","5500 S WESTERN AVE",41.793370554,-87.684175377
"219","5600 W ADDISON STREET",41.945985104,-87.766879952
"220","5600 W BELMONT AVENUE",41.938683775,-87.766562494
"221","5600 W CHICAGO AVENUE",41.894962293,-87.765460791
"222","5600 W DIVERSEY AVENUE",41.931385977,-87.766310532
"223","5600 W FULLERTON AVENU",41.924090199,-87.76605353
"224","5600 W IRVING PARK ROAD",41.953292847,-87.767065708
"225","5600 W LAKE STREET",41.887838735,-87.765183663
"226","5600 W MADISON STREET",41.880354556,-87.764948136
"227","5700 S CORNELL DRIVE",41.791580204,-87.585564215
"228","5930 N CLARK STREET",41.98929863,-87.670104121
"229","600 S CICERO AVENUE",41.873094833,-87.745143869
"230","6000 N CALIFORNIA AVE",41.990527717,-87.699552084
"231","6000 N CICERO AVENUE",41.989973915,-87.748473024
"232","6000 N PULASKI ROAD",41.990160923,-87.728790748
"233","6000 N WESTERN AVE",41.990586042,-87.689822473
"234","6000 W ADDISON STREET",41.945879676,-87.776627421
"235","6000 W DIVERSEY AVENUE",41.931248624,-87.776028612
"236","6000 W IRVING PARK ROAD",41.953163772,-87.776842593
"237","6200 N KIMBALL AVENUE",41.993841437,-87.714242493
"238","6200 N LINCOLN AVENUE",41.994450004,-87.714208439
"239","6300 S ASHLAND AVE",41.77937222,-87.664365347
"240","6300 S DAMEN AVENUE",41.779226921,-87.674052731
"241","6300 S HALSTED STREET",41.7796575,-87.644930993
"242","6300 S KEDZIE AVE",41.77894575,-87.703283119
"243","6300 S PULASKI RD",41.778636469,-87.722906356
"244","6300 S STATE ST",41.780008277,-87.625522512
"245","6300 S WESTERN AVE",41.779123484,-87.683783099
"246","6400 N CALIFORNIA AVE",41.997649133,-87.699792629
"247","6400 N HARLEM AVE",41.997018918,-87.806947715
"248","6400 N MILWAUKEE AVEN",41.997382173,-87.788077674
"249","6400 N SHERIDAN ROAD",41.998217921,-87.660695256
"250","6400 N WESTERN AVENUE",41.997817807,-87.690033035
"251","6400 W ARCHER AVE",41.792455256,-87.78187685
"252","6400 W DEVON AVENUE",41.997463981,-87.787610243
"253","6400 W FOSTER",41.975762574,-87.787934296
"254","6400 W FULLERTON AVENU",41.923786189,-87.785567206
"255","6400 W IRVING PK",41.953024751,-87.786683238
"256","6700 S CORNELL DRIVE",41.77325149,-87.5852246
"257","6700 S STONY ISLAND A",41.773292896,-87.586442368
"258","6700 S WESTERN AVENUE",41.771884028,-87.683588402
"259","6800 N WESTERN AVENUE",42.005076123,-87.69021903
"260","6800 W GRAND AVENUE",41.923708193,-87.795300781
"261","7100 S ASHLAND",41.764859382,-87.663940176
"262","7100 S COTTAGE GROVE",41.765800351,-87.605729127
"263","7100 S KEDZIE AVENUE",41.764295037,-87.702957162
"264","7100 S WESTERN AVENUE",41.764608912,-87.683387053
"265","7200 N WESTERN AVENUE",42.012371335,-87.690393917
"266","7200 W ADDISON",41.945373358,-87.807070326
"267","7200 W BELMONT AVE",41.938105479,-87.806809552
"268","7432 W TOUHY AVENUE",42.011661765,-87.812781431
"269","7500 S STATE STREET",41.758092176,-87.624902228
"270","7600 S STONY ISLAND A",41.756897173,-87.586234285
"271","7900 S HALSTED STREET",41.750549559,-87.644188368
"272","7900 S JEFFERY BOULEV”,41.7514114,-87.5784629
"273","7900 S KEDZIE AVE",41.749723972,-87.702539572
"274","7900 S PULASKI ROAD",41.749339,-87.722052091
"275","7900 S SOUTH CHICAGO AVE",41.751339705,-87.585632266
"276","7900 S STATE STREET",41.750918138,-87.624690123
"277","7900 S STONEY ISLAND",41.751460603,-87.585971993
"278","7900 S WESTERN AVE",41.750054934,-87.682992203
"279","800 E 95TH STREET",41.722153939,-87.604447736
"280","800 N CENTRAL AVENUE",41.894896579,-87.765543258
"281","800 N CICERO AVENUE",41.895049038,-87.745955516
"282","800 N PULASKI ROAD",41.895456457,-87.726230541
"283","800 N SACRAMENTO AVEN",41.895640714,-87.702352328
"284","800 N WESTERN AVE",41.895786955,-87.686990586
"285","800 W 103RD STREET",41.70702632,-87.642896007
"286","800 W 111TH ST",41.692465363,-87.642440901
"287","800 W 115TH STREET",41.685190056,-87.642279564
"288","800 W 119TH STREET",41.677923389,-87.641989646
"289","800 W 79TH STREET",41.750751157,-87.644107793
"290","800 W 99TH ST",41.714323337,-87.643066714
"291","800 W DIVISION",41.903745557,-87.648167011
"292","800 W FULLERTON AVENUE",41.925562791,-87.648823641
"293","800 W NORTH AVENUE",41.91102851,-87.648335806
"294","800 W ROOSEVELT ROAD",41.867263098,-87.646972686
"295","8300 S HALSTED STREET",41.743264491,-87.64397498
"296","8300 S STONY ISLAND A",41.744151639,-87.585945067
"297","848 W 87TH STREET",41.736157546,-87.6454274
"298","8700 S ASHLAND AVE",41.735696989,-87.663209544
"299","8700 S LAFAYETTE AVEN",41.73616511,-87.625587569
"300","8700 S VINCENNES",41.736006565,-87.645341819
"301","9500 S ASHLAND AVENUE",41.721160612,-87.662828139
"302","9500 S COTTAGE GROVE",41.721970465,-87.60334804
"303","9500 S HALSTED STREET",41.721365061,-87.643358042
"304","9500 S JEFFERY AVE",41.722375907,-87.575499903
"305","9900 S HALSTED ST",41.714118868,-87.643145408
"306","1 W ROOSEVELT RD”,41.8673594,-87.6296733
"307","1200 S STATE ST”,41.8673351,-87.6296658
"308","1200 W 79TH STREET”,41.750763,-87.6562346
"309","132 W CERMAK ROAD”,41.8529494,-87.6326826
"310","1600 W ROOSEVELT ROAD”,41.8668933,-87.6686973
"311","200 W 69TH STREET”,41.7690641,-87.6321433
"312","200 W NORTH AVENUE”,41.9112121,-87.6369005
"313","2200 S CLARK STREET”,41.9220804,-87.6408044
"314","2400 N KEDZIE AVE”,41.9289121,-87.708582
"315","2400 W 35TH”,41.83028,-87.685033
"316","2800 W 47TH STREET”,41.8082802,-87.6963846
"317","2800 W NORTH AVENUE”,41.9104423,-87.6994395
"318","3200 N CICERO AVE”,41.9389432,-87.7493154
"319","3200 N HALSTED ST”,41.9402963,-87.6518085
"320","3200 W DEVON AVENUE”,41.997615,-87.7117297
"321","3500 S CALIFORNIA AVE”,41.82996,-87.6973647
"322","400 W ONTARIO ST”,41.893367,-87.641029
"323","4000 N CALIFORNIA AVE”,41.953973,-87.69824
"324","4000 N NARRAGANSETT”,41.952916,-87.786558
"325","4000 N WESTERN AVE”,41.9543352,-87.6909598
"326","4400 N LAWRENCE AVENU”,41.968108,-87.740163
"327","4400 W DIVISION STREET”,41.9025274,-87.7383428
"328","4700 S CALIFORNIA AVE”,41.8082679,-87.6963843
"329","4800 W BELMONT AVE”,41.9388343,-87.749144
"330","5000 S ARCHER AVENUE”,41.802317,-87.723422
"331","5500 N HARLEM AVENUE”,41.791216,-87.8044208
"332","5930 N RIDGE AVENUE”,41.989697,-87.669985
"333","6000 W BELMONT AVE”,41.938564,-87.7785295
"334","628 N KINGSBURY ST”,41.8935661,-87.6436835
"335","7100 S PULASKI ROAD”,41.7641933,-87.7245446
"336","7200 W HIGGINS AVENUE”,41.9811242,-87.8092615
"337","7900 S COTTAGE GROVE”,41.7511784,-87.6076345
"338","7900 S RACINE AVENUE”,41.7504855,-87.6559311
"339","800 E 79TH ST”,41.7512867,-87.6073533
"340","800 W BELMONT AVE”,41.9401819,-87.6516845
"341","8900 S STONY ISLAND”,41.733145,-87.5881407
